Skill
Python
Java
SQL
Machine Learning
Excel
C++
JavaScript
Pandas
Communication
Leadership
Seaborn
Matplotlib
PowerBI
HTML
CSS
Reactjs
MongoDB
Nodejs
Express
OOPS
Matlab
Collaborative
Analytical Troubleshooter
Effective & Active Listener
Flexible
prioritizes tasks
Team player
Self-motivated
Adaptable
Problem solver
Critical thinker
Detail-oriented
Organized
Time management
Strong work ethic
Creative thinker
Open-minded
Empathetic
Resilient
Proactive
Git
GitHub
Gitlab
Docker
Kubernetes
